Hospital/Clinic Name,Type,City,Telephone,Emergency Services,Address/Street,Latitude,Longitude,Last_Updated,Google Maps Link,Extraction_Day
Hopital Italien المستشفى الإيطالي,Hospital,Tanger,Not Available,Not Specified,Rue Sidi Bourqia,35.7845305,-5.8212436,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7845305,-5.8212436",Friday (2026-06-05)
Croissant Rouge,Hospital,Tanger,Not Available,Not Specified,Rue Allal Ben Abdallah,35.7777167,-5.8100344,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7777167,-5.8100344",Friday (2026-06-05)
Clinique croissant Rouge,Hospital,Tétouan,Not Available,Not Specified,HJC6+MX5,35.5715071,-5.3874731,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.5715071,-5.3874731",Friday (2026-06-05)
hôpital Sidi Said مستشفى سيدي سعيد,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.8932766,-5.5779189,2026-03-30,"https://www.google.com/maps/search/?api=1&query=33.8932766,-5.5779189",Friday (2026-06-05)
مستشفى سيدي بنور,Hospital,Morocco,+212 5 23 36 98 40,Not Specified,شارع المسيرة,32.6524104,-8.4131853,2026-03-04,"https://www.google.com/maps/search/?api=1&query=32.6524104,-8.4131853",Friday (2026-06-05)
Centre De Sante Martil,Hospital,Martil,Not Available,Not Specified,Avenue Al Masira Khadra,35.6197939,-5.2740769,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.6197939,-5.2740769",Friday (2026-06-05)
Hôpital / Centre Hospitalier,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.0529931,-4.9882426,2026-03-31,"https://www.google.com/maps/search/?api=1&query=34.0529931,-4.9882426",Friday (2026-06-05)
CHU de Tanger-Tétouan-Al Hoceima,Hospital,Tanger,Not Available,Not Specified,chraka,35.6837521,-5.9258114,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.6837521,-5.9258114",Friday (2026-06-05)
Ibn Rochd,Clinic,Morocco,+212 5 37 67 03 04,Not Specified,Not Listed,33.9882152,-6.8533026,2026-04-16,"https://www.google.com/maps/search/?api=1&query=33.9882152,-6.8533026",Friday (2026-06-05)
Clinique Val Fleuri,Clinic,Tanger,Not Available,Not Specified,Boulevard Moulay Rachid شارع مولاي رشيد,35.7775687,-5.8270735,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7775687,-5.8270735",Friday (2026-06-05)
Clinique des Specialites Ryad,Clinic,2 RUE BENZAKOUR ATLAS FES,+212 5 35 65 65 65,Not Specified,Not Listed,34.0312267,-4.9988263,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0312267,-4.9988263",Friday (2026-06-05)
Clinique 16 Novembre,Clinic,Rabat ⵔⴱⴰⵟ الرباط,+212 5 37 67 17 17,Not Specified,Avenue Ahmed Balafrej شارع أحمد بلافريج,33.9802059,-6.8423539,2026-03-05,"https://www.google.com/maps/search/?api=1&query=33.9802059,-6.8423539",Friday (2026-06-05)
Hôpital / Centre Hospitalier,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.2582521,-6.6121015,2026-04-01,"https://www.google.com/maps/search/?api=1&query=34.2582521,-6.6121015",Friday (2026-06-05)
International Clinic of Tangier,Hospital,Tanger,Not Available,Not Specified,Route de Malabata,35.7715937,-5.7853316,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7715937,-5.7853316",Friday (2026-06-05)
Mohemed V,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.9038637,-5.5403708,2026-04-01,"https://www.google.com/maps/search/?api=1&query=33.9038637,-5.5403708",Friday (2026-06-05)
Hospital moulay Ismail,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.8924307,-5.5450299,2026-03-28,"https://www.google.com/maps/search/?api=1&query=33.8924307,-5.5450299",Friday (2026-06-05)
AKDITAL : Hôpital Privé de Tanger,Hospital,Tanger,Not Available,Not Specified,Boulevard Moulay Rachid شارع مولاي رشيد,35.7445247,-5.8618678,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7445247,-5.8618678",Friday (2026-06-05)
Centre provincial spécialisé de psychiatrie,Hospital,Morocco,+212 6 61 11 36 74,Not Specified,Not Listed,35.1689918,-5.2634057,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1689918,-5.2634057",Friday (2026-06-05)
